slug,name,region,year_constructed,water_source,projects,about,site_link,video_url,photo_path,cover_image_url,latitude,longitude
bulunga,Bulunga,Manzini,2021,"Rain water capturing, Well",Vegetable sales,"Bulunga is a mountain. In the past, people of this area were known to be of good character. 'Kulunga' in siSwati is being of good character. That is why the area was named Bulunga.",https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=gM1w493Ha_s&t=3s,images/seed_uploads/sites/bulunga/bulunga-icbc-bulunga-pre-school-children-indoors.jpg,images/seed_uploads/covers/bulunga/bulunga-icbc-children-with-teachers.jpg,-26.660557,31.62011
engcamini,Engcamini,Lubombo,2013,Well with solar pump,"Dairy sales, Chicken and egg sales, Sewing","Engcamini was found to be an open grassland perfect for King Sobhuza's cattle to graze on. The large cattle population was then slaughtered, cooked and prepared as a meal for the King and His men for the journey.",https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=AxVnFPmivfI&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=8,C__Users_Jason_Downloads_bitfuul-images_Engcamini-resized.jpg,,-26.470755,31.845592
gebeni,Gebeni,Manzini,2017,"Rain water capturing, Well","Chicken and egg sales,",Gebeni was found to be an open grassland perfect for the King's cattle to graze on. This farm became known as Gebeni meaning an area for the King's cattle.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=zOd0X9aMspQ&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=28,C__Users_Jason_Downloads_bitfuul-images_Gebeni-resized.jpg,,-26.609458,31.323002
hawane,Hawane,Hhohho,2008,"River, Rain water capturing","Vegetable sales, Chicken and egg sales, Honey production",Hawane is a community of 3000 people. It was a grazing land for the King back in the 1940's. The headman was Hawane Tsabedze. It was named after him.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=v6zraHltP5c&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=30,C__Users_Jason_Downloads_bitfuul-images_Hawane-resized.jpg,,-26.213802,31.081032
jubukweni,Jubukweni,Hhohho,2021,"River, Community water pipeline",Maize production,Jubukweni is mountainous area next to the Mbuluzi river. This area has fertile land good for farming and is full of small streams.,https://www.youtube.com/@icbcscms133/videos,,C__Users_Jason_Downloads_bitfuul-images_Jubukweni-resized.jpg,,-26.189405,31.205945
kaliba,Kaliba,Shiselweni,2021,"Well with solar pump, Well",Vegetable sales,"This area was named KaLiba, after the Liba clan which was led by Liba Dlamini. The Liba clan settled in this area and ruled over it.",https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=pseYPbfRYqY&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=26,C__Users_Jason_Downloads_bitfuul-images_Kaliba-resized.jpg,,-27.08872,31.487569
kancesi,Kancesi,Hhohho,2021,"Rain water capturing,",Vegetable sales,"The name of the area the ICBC site is in Kancesi is called Gangakhulu, meaning troublesome. It was named that because the people in this community were too mischievous.",https://www.youtube.com/@icbcscms133/videos,,C__Users_Jason_Downloads_bitfuul-images_Kancesi-resized.jpg,,-26.1436448,31.2309874
lavumisa,Lavumisa,Shiselweni,1996,River,Chickens,"Lavumisa is a great transforming community that was hugely affected by prolonged droughts in the past. Lavumisa is a huge community that was named in honor of King Sobhuza's wife, who was the daughter of Vumisa Ndwandwe.",https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=-WROwK5zaLc&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=29,C__Users_Jason_Downloads_bitfuul-images_Lavumisa-resized.jpg,,-27.092074,31.812741
lonhlalane,Lonhlalane,Hhohho,2020,"Rain water capturing, Well",Chicken and egg sales,"Lonhlalane is an area which had a lot of wild fruits, but the most common one was called Lihlala which almost resembles a coconut. Because this was the common fruit here the area was then called Lonhlalane.",https://www.youtube.com/@icbcscms133/videos,,C__Users_Jason_Downloads_bitfuul-images_Lonhlane-resized.jpg,,-25.9058457,31.6230284
lundzi,Lundzi,Manzini,2020,Well with solar pump,Vegetable sales,Lundzi came from the name Lundzini which was the name of a homestead that was used to divide the south and north. The south was called Mpuluzi and the north was called Lundzi.,https://www.youtube.com/@icbcscms133/videos,,C__Users_Jason_Downloads_bitfuul-images_Lundzi-resized.jpg,,-26.3436578,30.8961883
